sulfur dioxide diff,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
149.0,7.8,0.32,0.31,1.7,0.036,46.0,0.993,3.03,0.48,10.5,5
68.0,6.8,0.32,0.37,3.4,0.023,19.0,0.9902,3.14,0.53,12.7,6
81.0,7.3,0.24,0.39,3.6,0.024,35.0,0.9928,3.17,0.51,10.9,5
93.0,7.1,0.44,0.37,2.7,0.041,35.0,0.9896,3.07,0.43,13.5,7
134.0,7.9,0.14,0.28,1.8,0.041,44.0,0.9954,3.45,0.43,9.2,6
154.0,7.4,0.18,0.42,2.1,0.036,33.0,0.9938,3.4,0.41,10.6,7
105.0,8.1,0.43,0.42,6.6,0.033,36.0,0.9918,2.98,0.39,13.3,7
93.0,7.1,0.44,0.37,2.7,0.041,35.0,0.9896,3.07,0.43,13.5,7
108.0,6.4,0.26,0.22,5.1,0.037,23.0,0.9944,3.29,0.32,10.1,5
126.0,8.0,0.2,0.4,5.2,0.055,41.0,0.9953,3.18,0.4,10.6,7
55.0,7.2,0.21,0.34,1.1,0.046,25.0,0.992,3.25,0.4,11.3,6
53.0,7.2,0.18,0.31,1.1,0.045,20.0,0.9925,3.32,0.4,10.8,7
122.0,5.7,0.245,0.33,1.1,0.049,28.0,0.9927,3.13,0.42,9.3,5
128.0,5.6,0.245,0.32,1.1,0.047,24.0,0.9927,3.12,0.42,9.3,6
113.0,7.3,0.25,0.41,1.8,0.037,52.0,0.9911,3.29,0.39,12.2,7
147.0,6.9,0.29,0.16,6.8,0.034,65.0,0.9955,3.08,0.39,9.0,6
181.0,6.2,0.21,0.38,6.8,0.036,64.0,0.9951,3.06,0.36,9.3,6
173.0,6.4,0.23,0.3,7.1,0.037,63.0,0.9952,3.06,0.34,9.2,6
58.0,7.2,0.14,0.35,1.2,0.036,15.0,0.9938,3.46,0.39,9.9,5
138.0,6.9,0.31,0.34,7.4,0.059,36.0,0.9963,3.46,0.62,11.1,7
80.0,7.5,0.28,0.34,4.2,0.028,36.0,0.991,2.99,0.41,12.3,8
118.0,8.0,0.22,0.42,14.6,0.044,45.0,1.0003,3.21,0.69,8.6,7
124.0,7.6,0.31,0.29,10.5,0.04,21.0,0.9966,3.04,0.35,9.4,5
118.0,8.0,0.22,0.42,14.6,0.044,45.0,1.0003,3.21,0.69,8.6,7
112.0,6.2,0.22,0.27,1.5,0.064,20.0,0.9938,3.22,0.46,9.2,6
118.0,8.0,0.22,0.42,14.6,0.044,45.0,1.0003,3.21,0.69,8.6,7
124.0,7.6,0.31,0.29,10.5,0.04,21.0,0.9966,3.04,0.35,9.4,5
139.0,6.6,0.27,0.3,1.9,0.025,14.0,0.9928,3.29,0.62,10.5,6
142.0,7.7,0.27,0.34,1.8,0.028,26.0,0.9911,2.99,0.48,12.1,7
101.0,8.0,0.45,0.36,8.8,0.026,50.0,0.9927,3.07,0.25,12.7,8
142.0,7.7,0.27,0.34,1.8,0.028,26.0,0.9911,2.99,0.48,12.1,7
107.0,6.6,0.16,0.29,1.8,0.05,40.0,0.9912,3.06,0.44,11.4,7
75.0,8.3,0.21,0.4,1.6,0.032,35.0,0.9907,3.02,0.6,12.9,7
80.0,7.2,0.32,0.33,1.4,0.029,29.0,0.9902,3.15,0.51,12.8,7
63.0,6.6,0.16,0.3,1.6,0.034,15.0,0.992,3.38,0.44,11.2,6
82.0,8.4,0.16,0.33,1.5,0.033,16.0,0.994,3.14,0.42,9.7,6
137.0,7.5,0.23,0.32,9.2,0.038,54.0,0.9966,3.04,0.56,9.7,6
65.0,6.2,0.17,0.3,1.1,0.037,14.0,0.993,3.5,0.54,10.3,6
137.0,7.5,0.23,0.32,9.2,0.038,54.0,0.9966,3.04,0.56,9.7,6
101.0,7.5,0.38,0.33,5.0,0.045,30.0,0.9942,3.32,0.44,10.9,6
93.0,7.3,0.42,0.38,6.8,0.045,29.0,0.9925,3.19,0.37,12.6,7
118.0,7.3,0.34,0.39,5.2,0.04,45.0,0.9925,3.3,0.47,12.4,6
121.0,7.8,0.23,0.28,4.75,0.042,45.0,0.9928,2.96,0.4,11.5,5
125.0,6.9,0.2,0.4,7.7,0.032,51.0,0.9939,3.22,0.27,11.4,5
173.0,7.4,0.19,0.42,6.4,0.067,39.0,0.9958,3.3,0.33,9.6,6
103.0,8.2,0.2,0.36,8.1,0.035,60.0,0.9952,3.05,0.3,10.3,6
97.0,7.9,0.14,0.45,1.8,0.05,17.0,0.9948,3.33,0.49,10.7,7
71.0,6.8,0.24,0.4,1.8,0.047,34.0,0.99,3.13,0.49,12.8,8
79.0,6.3,0.23,0.22,3.75,0.039,37.0,0.9927,3.23,0.5,10.7,6
123.0,6.4,0.31,0.4,6.2,0.04,46.0,0.9953,3.15,0.46,9.3,6
99.0,8.1,0.2,0.36,9.7,0.044,63.0,0.997,3.1,0.46,10.0,6
150.0,7.9,0.255,0.26,2.0,0.026,40.0,0.9932,3.04,0.39,11.2,6
156.0,7.0,0.15,0.34,1.4,0.039,21.0,0.9927,3.32,0.62,10.8,5
71.0,6.4,0.15,0.31,1.1,0.044,25.0,0.9932,3.54,0.51,10.3,6
175.0,6.4,0.25,0.53,6.6,0.038,59.0,0.9955,3.03,0.42,8.8,5
108.0,7.6,0.19,0.42,1.5,0.044,6.0,0.9914,3.04,0.74,12.8,6
97.0,7.3,0.43,0.37,4.6,0.028,17.0,0.991,3.23,0.43,13.2,6
124.0,5.1,0.31,0.3,0.9,0.037,28.0,0.992,3.54,0.56,10.1,6
161.0,6.9,0.16,0.35,1.3,0.043,21.0,0.9927,3.25,0.62,10.8,6
86.0,7.7,0.32,0.48,2.3,0.04,28.0,0.9911,3.2,0.52,12.8,7
123.0,6.8,0.26,0.33,1.5,0.047,44.0,0.9928,3.12,0.44,10.5,6
68.0,5.2,0.37,0.33,1.2,0.028,13.0,0.9902,3.37,0.38,11.7,6
84.0,8.4,0.19,0.43,2.1,0.052,20.0,0.994,2.85,0.46,9.5,5
84.0,8.3,0.21,0.41,2.2,0.05,24.0,0.994,2.85,0.45,9.5,5
86.0,6.8,0.15,0.32,8.8,0.058,24.0,0.9972,3.4,0.4,8.8,6
118.0,7.8,0.21,0.39,1.8,0.034,62.0,0.991,3.09,0.75,12.6,8
123.0,7.8,0.29,0.36,7.0,0.042,38.0,0.9941,3.26,0.37,11.2,8
211.0,6.7,0.18,0.3,6.4,0.048,40.0,0.9956,3.29,0.52,10.0,5
211.0,6.7,0.18,0.3,6.4,0.048,40.0,0.9956,3.29,0.52,10.0,5
71.0,7.2,0.16,0.32,0.8,0.04,50.0,0.9922,3.27,0.33,10.0,6
129.0,6.6,0.25,0.31,12.4,0.059,52.0,0.9984,3.51,0.47,9.8,6
114.0,7.3,0.23,0.37,1.9,0.041,51.0,0.9908,3.26,0.4,12.2,8
77.0,7.3,0.39,0.37,1.1,0.043,36.0,0.991,3.39,0.48,12.7,8
117.0,7.0,0.46,0.39,6.2,0.039,46.0,0.9928,3.21,0.35,12.2,7
127.0,8.2,0.35,0.4,6.3,0.039,35.0,0.9936,3.15,0.34,11.9,7
123.0,7.8,0.29,0.36,7.0,0.042,38.0,0.9941,3.26,0.37,11.2,8
90.0,6.5,0.37,0.33,3.9,0.027,40.0,0.9906,3.28,0.39,12.7,7
211.0,6.7,0.18,0.3,6.4,0.048,40.0,0.9956,3.29,0.52,10.0,5
136.0,7.8,0.13,0.3,1.8,0.04,43.0,0.9955,3.43,0.41,9.0,5
105.0,7.6,0.19,0.41,1.1,0.04,38.0,0.9907,2.92,0.42,11.4,5
136.0,7.3,0.22,0.41,15.4,0.05,55.0,1.0,3.32,0.59,8.9,6
124.0,6.3,0.29,0.4,6.5,0.039,43.0,0.9953,3.15,0.44,9.3,6
68.0,6.8,0.35,0.32,2.4,0.048,35.0,0.9911,3.28,0.46,12.0,8
101.0,6.5,0.19,0.32,1.4,0.04,31.0,0.9922,3.36,0.54,10.8,7
102.0,6.2,0.12,0.26,5.7,0.044,56.0,0.9951,3.52,0.37,10.5,6
73.0,6.4,0.25,0.33,1.4,0.04,42.0,0.9906,3.19,0.48,11.3,7
81.0,6.9,0.32,0.16,1.4,0.051,15.0,0.994,3.22,0.38,9.5,4
105.0,7.6,0.19,0.41,1.1,0.04,38.0,0.9907,2.92,0.42,11.4,5
105.0,6.7,0.13,0.28,1.2,0.046,35.0,0.9927,3.33,0.33,10.1,7
73.0,7.0,0.14,0.41,0.9,0.037,22.0,0.9914,3.25,0.43,10.9,6
96.0,7.6,0.27,0.24,3.8,0.058,19.0,0.9958,3.15,0.45,8.9,5
136.0,7.3,0.22,0.41,15.4,0.05,55.0,1.0,3.32,0.59,8.9,6
93.0,7.6,0.28,0.39,1.9,0.052,23.0,0.9941,3.25,0.4,10.4,6
121.0,8.3,0.26,0.41,9.2,0.042,41.0,0.9944,3.1,0.38,12.0,7
97.0,6.9,0.23,0.34,2.7,0.032,24.0,0.9902,3.14,0.38,12.4,7
100.0,6.2,0.3,0.32,1.7,0.032,30.0,0.9911,3.28,0.41,11.2,7
128.0,6.9,0.27,0.41,1.7,0.047,6.0,0.9929,3.15,0.69,11.4,6
126.0,6.9,0.28,0.41,1.7,0.05,10.0,0.993,3.16,0.71,11.4,6
86.0,6.9,0.28,0.3,1.6,0.047,46.0,0.9918,3.35,0.38,11.1,7
121.0,6.9,0.46,0.2,0.9,0.054,5.0,0.992,3.1,0.42,10.4,6
116.0,6.9,0.38,0.32,8.5,0.044,36.0,0.9932,3.38,0.35,12.0,7
74.0,5.7,0.43,0.3,5.7,0.039,24.0,0.992,3.54,0.61,12.3,7
128.0,6.8,0.23,0.4,1.6,0.047,5.0,0.993,3.23,0.7,11.4,6
70.0,6.6,0.42,0.33,2.8,0.034,15.0,0.99,3.28,0.51,13.4,6
131.0,7.3,0.18,0.29,1.2,0.044,12.0,0.9918,3.2,0.48,11.3,7
107.0,8.1,0.19,0.4,0.9,0.037,73.0,0.9926,3.06,0.34,10.0,6
90.0,5.9,0.19,0.26,7.4,0.034,33.0,0.995,3.49,0.42,10.1,6
58.0,6.2,0.16,0.47,1.4,0.029,23.0,0.99,3.26,0.42,12.2,6
70.0,6.6,0.42,0.33,2.8,0.034,15.0,0.99,3.28,0.51,13.4,6
82.0,5.7,0.135,0.3,4.6,0.042,19.0,0.9946,3.31,0.42,9.3,6
71.0,6.9,0.19,0.33,1.6,0.039,27.0,0.9898,3.09,0.46,12.3,7
131.0,7.3,0.18,0.29,1.2,0.044,12.0,0.9918,3.2,0.48,11.3,7
165.0,7.3,0.25,0.36,13.1,0.05,35.0,0.9986,3.04,0.46,8.9,7
165.0,7.3,0.25,0.36,13.1,0.05,35.0,0.9986,3.04,0.46,8.9,7
51.0,7.0,0.2,0.34,5.7,0.035,32.0,0.9928,3.19,0.46,11.5,6
165.0,7.3,0.25,0.36,13.1,0.05,35.0,0.9986,3.04,0.46,8.9,7
91.0,7.4,0.4,0.29,5.4,0.044,31.0,0.994,3.3,0.5,11.1,8
99.0,7.1,0.26,0.31,2.2,0.044,29.0,0.9937,3.34,0.64,10.9,8
108.0,6.3,0.39,0.24,6.9,0.069,9.0,0.9942,3.15,0.35,10.2,4
78.0,8.2,0.22,0.36,6.8,0.034,12.0,0.9944,3.01,0.38,10.5,8
165.0,7.3,0.25,0.36,13.1,0.05,35.0,0.9986,3.04,0.46,8.9,7
89.0,7.9,0.2,0.34,1.2,0.04,29.0,0.9932,3.14,0.41,10.6,6
58.0,7.1,0.26,0.32,5.9,0.037,39.0,0.9934,3.31,0.4,11.6,6
51.0,7.0,0.2,0.34,5.7,0.035,32.0,0.9928,3.19,0.46,11.5,6
102.0,8.1,0.29,0.49,7.1,0.042,22.0,0.9944,3.14,0.41,10.8,6
75.0,5.8,0.17,0.3,1.4,0.037,55.0,0.9909,3.29,0.38,11.3,6
112.0,6.6,0.23,0.26,1.3,0.045,16.0,0.9934,3.36,0.6,10.0,6
73.0,6.2,0.18,0.49,4.5,0.047,17.0,0.9919,3.27,0.37,11.6,6
80.0,5.3,0.165,0.24,1.1,0.051,25.0,0.9925,3.32,0.47,9.1,5
102.0,8.1,0.29,0.49,7.1,0.042,22.0,0.9944,3.14,0.41,10.8,6
102.0,6.8,0.22,0.49,0.9,0.052,26.0,0.991,3.25,0.35,11.4,6
106.0,7.2,0.22,0.49,1.0,0.045,34.0,0.99,3.05,0.34,12.7,6
121.0,7.4,0.25,0.49,1.1,0.042,35.0,0.9917,3.13,0.55,11.3,5
53.0,8.2,0.18,0.49,1.1,0.033,28.0,0.9923,3.0,0.68,10.4,7
69.0,6.1,0.22,0.49,1.5,0.051,18.0,0.9928,3.3,0.46,9.6,5
111.0,7.0,0.39,0.24,1.0,0.048,8.0,0.9923,3.0,0.31,10.1,4
69.0,6.1,0.22,0.49,1.5,0.051,18.0,0.9928,3.3,0.46,9.6,5
78.0,6.5,0.36,0.49,2.9,0.03,16.0,0.9902,3.1,0.49,12.1,7
67.0,7.1,0.29,0.49,1.2,0.031,32.0,0.9893,3.07,0.33,12.2,6
121.0,7.4,0.25,0.49,1.1,0.042,35.0,0.9917,3.13,0.55,11.3,5
75.0,6.9,0.23,0.24,14.2,0.053,19.0,0.9982,3.17,0.5,9.6,5
53.0,8.2,0.18,0.49,1.1,0.033,28.0,0.9923,3.0,0.68,10.4,7
143.0,6.3,0.23,0.49,7.1,0.05,67.0,0.9951,3.23,0.34,9.5,5
159.0,6.1,0.25,0.49,7.6,0.052,67.0,0.9956,3.16,0.47,8.9,5
100.0,7.2,0.31,0.24,1.4,0.057,17.0,0.9928,3.16,0.35,10.5,5
90.0,8.0,0.25,0.49,1.2,0.061,27.0,0.9938,3.08,0.34,9.4,5
91.0,7.0,0.18,0.49,5.3,0.04,34.0,0.9914,3.24,0.4,12.2,6
121.0,7.8,0.43,0.49,13.0,0.033,37.0,0.9955,3.14,0.35,11.3,6
57.0,6.3,0.27,0.49,1.2,0.063,35.0,0.9911,3.38,0.42,12.2,6
132.0,7.4,0.16,0.49,1.2,0.055,18.0,0.9917,3.23,0.47,11.2,6
132.0,7.4,0.16,0.49,1.2,0.055,18.0,0.9917,3.23,0.47,11.2,6
123.0,6.9,0.19,0.49,6.6,0.036,49.0,0.9932,3.2,0.27,11.5,6
121.0,7.8,0.43,0.49,13.0,0.033,37.0,0.9955,3.14,0.35,11.3,6
127.0,7.2,0.4,0.49,1.1,0.048,11.0,0.9929,3.01,0.42,9.3,5
121.0,7.8,0.43,0.49,13.0,0.033,37.0,0.9955,3.14,0.35,11.3,6
181.0,8.3,0.21,0.49,19.8,0.054,50.0,1.0012,2.99,0.54,9.2,5
57.0,6.3,0.27,0.49,1.2,0.063,35.0,0.9911,3.38,0.42,12.2,6
106.0,7.9,0.11,0.49,4.5,0.048,27.0,0.9946,3.24,0.42,10.6,6
110.0,6.4,0.145,0.49,5.4,0.048,54.0,0.9946,3.56,0.44,10.8,6
132.0,7.4,0.16,0.49,1.2,0.055,18.0,0.9917,3.23,0.47,11.2,6
126.0,8.3,0.19,0.49,1.2,0.051,11.0,0.9918,3.06,0.46,11.0,6
105.0,8.0,0.44,0.49,9.1,0.031,46.0,0.9926,3.16,0.27,12.7,8
123.0,6.9,0.19,0.49,6.6,0.036,49.0,0.9932,3.2,0.27,11.5,6
66.0,7.1,0.25,0.49,3.0,0.03,30.0,0.9903,3.13,0.39,12.3,7
45.0,6.5,0.24,0.24,1.6,0.046,15.0,0.9928,3.19,0.39,9.8,5
127.0,7.2,0.4,0.49,1.1,0.048,11.0,0.9929,3.01,0.42,9.3,5
121.0,7.8,0.43,0.49,13.0,0.033,37.0,0.9955,3.14,0.35,11.3,6
42.0,7.8,0.21,0.49,1.35,0.052,6.0,0.9911,3.15,0.28,11.4,5
89.0,7.0,0.2,0.49,5.9,0.038,39.0,0.9938,3.21,0.48,10.8,6
72.0,6.9,0.25,0.24,3.6,0.057,13.0,0.9942,2.99,0.48,9.5,4
130.0,7.2,0.08,0.49,1.3,0.05,18.0,0.9945,3.46,0.44,10.2,6
120.0,7.9,0.22,0.24,4.6,0.044,39.0,0.9927,2.99,0.28,11.5,6
104.0,7.7,0.16,0.49,2.0,0.056,20.0,0.9948,3.32,0.49,10.7,6
130.0,7.2,0.08,0.49,1.3,0.05,18.0,0.9945,3.46,0.44,10.2,6
98.0,6.6,0.25,0.24,1.7,0.048,26.0,0.9942,3.37,0.6,10.1,6
72.0,6.9,0.25,0.24,3.6,0.057,13.0,0.9942,2.99,0.48,9.5,4
126.0,7.5,0.32,0.24,4.6,0.053,8.0,0.9958,3.14,0.5,9.1,3
106.0,7.4,0.28,0.49,1.5,0.034,20.0,0.9918,2.98,0.39,10.6,6
34.0,6.2,0.15,0.49,0.9,0.033,17.0,0.9932,3.3,0.7,9.4,6
89.0,5.6,0.185,0.49,1.1,0.03,28.0,0.9918,3.55,0.45,10.3,6
89.0,7.5,0.2,0.49,1.3,0.031,8.0,0.9918,3.06,0.62,11.1,5
141.0,8.0,0.3,0.49,9.4,0.046,47.0,0.9964,3.14,0.48,10.0,5
141.0,8.0,0.34,0.49,9.0,0.033,39.0,0.9936,3.13,0.38,12.3,8
144.0,7.7,0.35,0.49,8.65,0.033,42.0,0.9931,3.14,0.38,12.4,8
152.0,7.6,0.29,0.49,9.6,0.03,45.0,0.9938,3.13,0.38,12.3,7
91.0,6.8,0.27,0.49,1.2,0.044,35.0,0.99,3.13,0.48,12.1,7
63.0,7.7,0.27,0.49,1.8,0.041,23.0,0.9914,3.16,0.42,12.5,6
106.0,7.4,0.19,0.49,9.3,0.03,26.0,0.994,2.99,0.32,11.0,7
135.0,8.3,0.2,0.49,1.7,0.04,34.0,0.9938,3.05,0.37,10.1,5
104.0,6.6,0.3,0.24,1.2,0.034,17.0,0.9933,3.13,0.36,9.2,5
100.0,6.8,0.36,0.24,4.6,0.039,24.0,0.9909,3.27,0.34,12.6,7
154.0,8.1,0.2,0.49,8.1,0.051,51.0,0.9954,3.1,0.52,11.0,6
120.0,6.8,0.21,0.49,14.5,0.06,50.0,0.9991,3.55,0.44,9.8,6
129.0,7.9,0.2,0.49,1.6,0.053,15.0,0.993,3.16,0.47,10.5,5
135.0,8.0,0.18,0.49,1.8,0.061,10.0,0.9942,3.23,0.48,10.0,5
105.0,7.3,0.22,0.49,9.4,0.034,29.0,0.9939,2.99,0.32,11.0,7
113.0,7.3,0.22,0.49,9.9,0.031,48.0,0.9937,3.01,0.28,11.2,6
106.0,7.4,0.19,0.49,9.3,0.03,26.0,0.994,2.99,0.32,11.0,7
101.0,8.2,0.22,0.49,9.6,0.037,53.0,0.9951,3.02,0.33,10.6,6
111.0,8.2,0.24,0.49,9.3,0.038,52.0,0.9952,3.02,0.33,10.6,6
73.0,8.4,0.23,0.49,7.8,0.035,22.0,0.9935,3.04,0.34,12.0,6
135.0,8.3,0.2,0.49,1.7,0.04,34.0,0.9938,3.05,0.37,10.1,5
129.0,8.3,0.2,0.49,1.7,0.038,38.0,0.9939,3.05,0.37,10.1,6
104.0,6.6,0.3,0.24,1.2,0.034,17.0,0.9933,3.13,0.36,9.2,5
149.0,6.9,0.21,0.49,1.4,0.041,15.0,0.9927,3.25,0.63,11.0,5
154.0,8.0,0.25,0.49,9.0,0.044,31.0,0.998,3.34,0.49,10.0,6
117.0,6.6,0.21,0.49,18.15,0.042,41.0,0.9997,3.28,0.39,8.7,6
147.0,7.9,0.28,0.49,7.7,0.045,48.0,0.9954,3.04,0.55,11.0,6
123.0,7.4,0.27,0.49,1.1,0.037,33.0,0.992,3.15,0.54,11.1,6
117.0,6.6,0.21,0.49,18.15,0.042,41.0,0.9997,3.28,0.39,8.7,6
148.0,8.1,0.3,0.49,8.1,0.037,26.0,0.9943,3.1,0.3,11.2,7
148.0,7.5,0.23,0.49,7.7,0.049,61.0,0.9941,3.14,0.3,11.1,7
75.0,7.3,0.26,0.49,5.0,0.028,32.0,0.9936,3.24,0.54,10.8,6
105.0,8.5,0.15,0.49,1.5,0.031,17.0,0.9932,3.03,0.4,10.3,6
116.0,8.1,0.28,0.49,1.0,0.04,32.0,0.9936,3.13,0.41,10.0,6
80.0,6.0,0.17,0.49,1.0,0.034,26.0,0.992,3.21,0.42,9.8,6
75.0,7.3,0.26,0.49,5.0,0.028,32.0,0.9936,3.24,0.54,10.8,6
77.0,7.2,0.16,0.49,1.3,0.037,27.0,0.9924,3.23,0.57,10.6,6
71.0,7.3,0.14,0.49,1.1,0.038,28.0,0.9928,3.2,0.72,10.6,6
119.0,7.9,0.12,0.49,5.2,0.049,33.0,0.9952,3.18,0.47,10.6,6
121.0,6.7,0.29,0.49,4.7,0.034,35.0,0.9945,3.13,0.45,9.9,6
122.0,6.7,0.3,0.49,4.8,0.034,36.0,0.9945,3.12,0.45,9.9,6
70.0,7.1,0.36,0.24,1.8,0.025,32.0,0.9903,3.34,0.59,12.8,6
105.0,8.5,0.15,0.49,1.5,0.031,17.0,0.9932,3.03,0.4,10.3,6
121.0,7.9,0.18,0.49,5.2,0.051,36.0,0.9953,3.18,0.48,10.6,6
108.0,7.3,0.21,0.49,1.8,0.038,44.0,0.9912,3.32,0.44,12.6,7
131.0,6.9,0.3,0.49,7.6,0.057,25.0,0.9962,3.43,0.63,11.0,7
132.0,7.9,0.42,0.49,8.2,0.056,32.0,0.9965,3.29,0.6,11.2,7
113.0,6.9,0.24,0.49,1.3,0.032,35.0,0.9932,3.45,0.57,10.7,7
137.0,7.6,0.23,0.49,10.0,0.036,45.0,0.9967,3.08,0.58,9.6,6
121.0,7.9,0.18,0.49,5.2,0.051,36.0,0.9953,3.18,0.48,10.6,6
103.0,6.2,0.43,0.49,6.4,0.045,12.0,0.9963,3.27,0.57,9.0,4
42.0,8.8,0.35,0.49,1.0,0.036,14.0,0.992,2.96,0.33,10.5,4
100.0,7.1,0.34,0.49,1.5,0.027,26.0,0.99,3.3,0.33,12.2,7
88.0,8.5,0.19,0.49,3.5,0.044,29.0,0.9938,3.14,0.51,10.1,6
122.0,7.6,0.18,0.49,18.05,0.046,36.0,0.9996,3.06,0.41,9.2,5
91.0,7.5,0.19,0.49,1.8,0.055,19.0,0.9946,3.33,0.44,9.9,5
139.0,7.4,0.3,0.49,8.2,0.055,49.0,0.9974,3.52,0.58,9.7,6
139.0,7.4,0.3,0.49,8.2,0.055,49.0,0.9974,3.52,0.58,9.7,6
118.0,6.9,0.22,0.49,7.0,0.063,50.0,0.9957,3.54,0.5,10.3,6
95.0,7.8,0.26,0.49,3.1,0.045,21.0,0.9931,3.16,0.35,10.3,5
85.0,8.5,0.17,0.49,8.8,0.048,23.0,0.9947,2.88,0.34,10.5,4
54.0,6.2,0.27,0.49,1.4,0.05,20.0,0.9931,3.32,0.44,9.8,6
141.0,7.6,0.31,0.49,13.4,0.062,50.0,0.9989,3.22,0.53,9.0,4
62.0,8.4,0.24,0.49,7.4,0.039,46.0,0.9934,3.03,0.33,11.9,7
112.0,6.4,0.12,0.49,6.4,0.042,49.0,0.9945,3.34,0.44,10.4,6
54.0,8.6,0.16,0.49,7.3,0.043,9.0,0.9953,3.13,0.59,10.5,6
99.0,7.0,0.29,0.49,3.8,0.047,37.0,0.9938,2.95,0.4,9.4,6
153.0,6.4,0.27,0.49,7.3,0.046,53.0,0.9956,3.24,0.43,9.2,6
153.0,6.4,0.27,0.49,7.3,0.046,53.0,0.9956,3.24,0.43,9.2,6
99.0,7.0,0.29,0.49,3.8,0.047,37.0,0.9938,2.95,0.4,9.4,6
168.0,8.2,0.34,0.49,8.0,0.046,55.0,0.996,3.08,0.52,10.7,6
50.0,5.6,0.39,0.24,4.7,0.034,27.0,0.9906,3.28,0.36,12.7,5
43.0,5.6,0.41,0.24,1.9,0.034,10.0,0.98815,3.32,0.5,13.5,7
82.0,7.1,0.26,0.49,2.2,0.032,31.0,0.9903,3.37,0.42,12.9,9
65.0,7.5,0.32,0.49,1.7,0.031,44.0,0.9906,3.07,0.46,12.5,6
74.0,5.8,0.19,0.49,4.9,0.04,44.0,0.9935,3.34,0.38,9.5,7
166.0,8.1,0.2,0.49,11.8,0.048,46.0,0.9968,3.09,0.46,10.0,7
65.0,7.5,0.32,0.49,1.7,0.031,44.0,0.9906,3.07,0.46,12.5,6
81.0,8.2,0.26,0.49,5.2,0.04,19.0,0.9941,3.12,0.34,10.1,6
59.0,7.8,0.26,0.49,3.2,0.027,28.0,0.9919,3.03,0.32,11.3,7
78.0,8.0,0.14,0.49,1.5,0.035,42.0,0.9928,3.26,0.4,10.6,7
91.0,8.0,0.29,0.49,11.7,0.035,40.0,0.9958,3.14,0.34,10.8,5
98.0,7.5,0.19,0.49,1.6,0.047,42.0,0.9932,3.4,0.47,10.7,6
145.0,6.9,0.34,0.49,7.3,0.045,61.0,0.9957,3.09,0.4,9.0,6
126.0,6.2,0.2,0.49,1.6,0.065,17.0,0.9937,3.22,0.52,9.2,6
190.0,6.4,0.37,0.49,13.3,0.045,53.0,0.9982,3.14,0.48,8.5,6
97.0,6.2,0.22,0.49,6.0,0.029,31.0,0.9928,3.41,0.36,11.3,8
59.0,7.8,0.26,0.49,3.2,0.027,28.0,0.9919,3.03,0.32,11.3,7
153.0,6.5,0.44,0.49,7.7,0.045,16.0,0.9957,3.11,0.37,8.7,6
96.0,7.0,0.14,0.49,5.9,0.053,22.0,0.9954,3.36,0.36,9.4,6
124.0,6.4,0.26,0.49,6.4,0.037,37.0,0.9954,3.38,0.53,9.7,6
94.0,8.2,0.2,0.49,3.5,0.057,14.0,0.9928,3.19,0.35,11.5,6
77.0,7.8,0.15,0.24,7.7,0.047,21.0,0.9951,2.94,0.31,9.6,6
115.0,6.9,0.25,0.24,1.8,0.053,6.0,0.993,3.23,0.7,11.4,5
94.0,8.2,0.2,0.49,3.5,0.057,14.0,0.9928,3.19,0.35,11.5,6
83.0,7.1,0.28,0.49,6.5,0.041,28.0,0.9926,3.41,0.58,12.2,8
95.0,7.4,0.19,0.49,6.7,0.037,15.0,0.9938,3.2,0.38,11.0,7
178.0,8.3,0.25,0.49,16.8,0.048,50.0,1.0001,3.03,0.52,9.2,6
117.0,8.1,0.12,0.49,1.2,0.042,43.0,0.9934,3.13,0.48,9.7,6
79.0,7.9,0.22,0.49,3.8,0.042,26.0,0.993,3.1,0.39,10.5,5
109.0,6.4,0.22,0.49,7.5,0.054,42.0,0.9948,3.27,0.52,10.1,6
84.0,7.3,0.19,0.49,15.55,0.058,50.0,0.9998,3.42,0.36,9.1,7
94.0,8.1,0.3,0.49,12.3,0.049,50.0,0.9971,3.09,0.57,10.2,7
84.0,7.3,0.19,0.49,15.55,0.058,50.0,0.9998,3.42,0.36,9.1,7
99.0,7.5,0.24,0.49,9.4,0.048,50.0,0.9962,3.17,0.59,10.5,7
109.0,6.4,0.22,0.49,7.5,0.054,42.0,0.9948,3.27,0.52,10.1,6
79.0,7.8,0.21,0.49,1.2,0.036,20.0,0.99,3.05,0.28,12.1,7
69.0,7.1,0.3,0.49,1.6,0.045,31.0,0.9942,3.4,0.59,10.2,5
104.0,7.6,0.31,0.49,3.95,0.044,27.0,0.9912,3.08,0.67,12.8,7
89.0,8.2,0.29,0.49,1.0,0.044,29.0,0.9928,3.24,0.36,10.9,4
165.0,6.6,0.46,0.49,7.4,0.052,19.0,0.9956,3.11,0.38,9.0,5
115.0,7.8,0.28,0.49,1.3,0.046,27.0,0.9936,3.09,0.59,10.2,5
77.0,5.8,0.15,0.49,1.1,0.048,21.0,0.9929,3.19,0.48,9.2,5
128.0,7.8,0.4,0.49,7.8,0.06,34.0,0.9966,3.26,0.58,11.3,6
168.0,6.6,0.31,0.49,7.7,0.05,52.0,0.9964,3.12,0.45,8.8,5
164.0,6.6,0.325,0.49,7.7,0.049,53.0,0.996,3.16,0.4,9.3,5
